time;precipitation_sum (mm);snowfall_sum (cm)
2024-03-20;0.0;0.0
2024-03-21;7.9;0.0
2024-03-22;0.0;0.0
2024-03-23;6.9;0.01
2024-03-24;4.9;1.01
2024-03-25;0.1;0.0
2024-03-26;0.0;0.0
2024-03-27;8.3;0.0
2024-03-28;1.8;0.0
2024-03-29;0.0;0.0
2024-03-30;0.0;0.0
2024-03-31;0.0;0.0
2024-04-01;2.3;0.0
2024-04-02;0.2;0.0
2024-04-03;5.3;0.0
2024-04-04;1.7;0.0
2024-04-05;1.5;0.0
2024-04-06;0.0;0.0
2024-04-07;0.0;0.0
2024-04-08;0.0;0.0
2024-04-09;0.2;0.0
2024-04-10;0.9;0.0
2024-04-11;0.0;0.0
2024-04-12;0.0;0.0
2024-04-13;0.0;0.0
2024-04-14;0.0;0.0
2024-04-15;6.6;0.0
2024-04-16;5.4;0.0
2024-04-17;11.7;0.0
2024-04-18;9.5;0.56
2024-04-19;4.4;0.0
2024-04-20;4.4;0.0
2024-04-21;9.1;0.0
2024-04-22;2.3;0.42
2024-04-23;4.9;0.49
2024-04-24;1.5;0.0
2024-04-25;0.2;0.0
2024-04-26;0.0;0.0
2024-04-27;0.0;0.0
2024-04-28;0.0;0.0
2024-04-29;0.0;0.0
2024-04-30;0.0;0.0
2024-05-01;0.0;0.0
2024-05-02;0.2;0.0
2024-05-03;1.6;0.0
2024-05-04;0.4;0.0
2024-05-05;0.0;0.0
2024-05-06;38.6;0.0
2024-05-07;0.3;0.0
2024-05-08;9.0;0.0
2024-05-09;0.3;0.0
2024-05-10;0.0;0.0
2024-05-11;0.0;0.0
2024-05-12;0.0;0.0
2024-05-13;0.0;0.0
2024-05-14;0.0;0.0
2024-05-15;0.1;0.0
2024-05-16;0.6;0.0
2024-05-17;7.1;0.0
2024-05-18;0.2;0.0
2024-05-19;5.5;0.0
2024-05-20;0.0;0.0
2024-05-21;8.3;0.0
2024-05-22;2.2;0.0
2024-05-23;8.4;0.0
2024-05-24;3.4;0.0
2024-05-25;1.5;0.0
2024-05-26;0.1;0.0
2024-05-27;35.1;0.0
2024-05-28;10.2;0.0
2024-05-29;1.4;0.0
2024-05-30;22.9;0.0
2024-05-31;23.2;0.0
2024-06-01;78.4;0.0
2024-06-02;2.8;0.0
2024-06-03;14.0;0.0
2024-06-04;0.0;0.0
2024-06-05;0.3;0.0
2024-06-06;0.8;0.0
2024-06-07;5.4;0.0
2024-06-08;4.3;0.0
2024-06-09;13.8;0.0
2024-06-10;3.3;0.0
2024-06-11;0.7;0.0
2024-06-12;0.0;0.0
2024-06-13;0.3;0.0
2024-06-14;0.2;0.0
2024-06-15;2.8;0.0
2024-06-16;0.9;0.0
2024-06-17;0.4;0.0
2024-06-18;0.0;0.0
2024-06-19;0.0;0.0
2024-06-20;0.8;0.0
2024-06-21;11.2;0.0
2024-06-22;7.2;0.0
2024-06-23;3.2;0.0
2024-06-24;0.0;0.0
2024-06-25;0.0;0.0
2024-06-26;6.1;0.0
2024-06-27;0.0;0.0
2024-06-28;0.1;0.0
2024-06-29;0.0;0.0
2024-06-30;0.0;0.0
2024-07-01;7.0;0.0
2024-07-02;0.7;0.0
2024-07-03;8.1;0.0
2024-07-04;0.8;0.0
2024-07-05;0.6;0.0
2024-07-06;9.4;0.0
2024-07-07;10.3;0.0
2024-07-08;1.1;0.0
2024-07-09;0.0;0.0
2024-07-10;1.1;0.0
2024-07-11;0.9;0.0
2024-07-12;16.0;0.0
2024-07-13;2.1;0.0
2024-07-14;0.0;0.0
2024-07-15;0.0;0.0
2024-07-16;4.1;0.0
2024-07-17;0.0;0.0
2024-07-18;0.0;0.0
2024-07-19;0.0;0.0
2024-07-20;0.2;0.0
2024-07-21;8.4;0.0
2024-07-22;4.8;0.0
2024-07-23;4.0;0.0
2024-07-24;3.5;0.0
2024-07-25;0.0;0.0
2024-07-26;0.0;0.0
2024-07-27;0.3;0.0
2024-07-28;1.6;0.0
2024-07-29;0.0;0.0
2024-07-30;0.0;0.0
2024-07-31;1.5;0.0
